case,k,qes,he,hes,qeso,heo,heso,qes_cup,q_cup,he_cup,hes_cup,z_cup,p_cup,gamma_cup0,t_cup,qeso_cup,qo_cup,heo_cup,heso_cup,zo_cup,po_cup0,gammao_cup,tn_cup,dtempdz,entr2d_a,cd_a,zu_pdf,zuo_b,upme,upmd,cd_b,entr2d_b,hc,hco,dby,dbyo,dbyt,qco_a,qrco,pwo,cupclw,qco,cnvwt,dellah,dellaq,dellaqc,dellat,xhe,xq,xt,xqes,xhes,xqes_cup,xq_cup,xhe_cup,xhes_cup,gamma_cupx,xt_cup,po_cupx,xhc,xdby,xzu,zuo,outt,outq,outqc
7,37, 1.7630098227527924E-005, 3.5020809375000000E+005, 3.5024000000000000E+005, 1.7630098227527924E-005, 3.5020809375000000E+005, 3.5024000000000000E+005, 2.4017121177166700E-005, 6.4983541960828006E-006, 3.4903156250000000E+005, 3.4907537500000000E+005, 1.4234500000000000E+004, 1.5297247314453125E+002, 7.4573489837348461E-003, 2.0854074096679688E+002, 2.4017121177166700E-005, 6.4983541960828006E-006, 3.4903156250000000E+005, 3.4907537500000000E+005, 1.4234500000000000E+004, 1.5297247314453125E+002, 7.4573489837348461E-003, 2.0854074096679688E+002, 0.0000000000000000E+000, 1.5829708718229085E-004, 1.5829708718229085E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,38, 1.3386406862991862E-005, 3.5472053125000000E+005, 3.5474459375000000E+005, 1.3386406862991862E-005, 3.5472053125000000E+005, 3.5474459375000000E+005, 1.5508252545259893E-005, 4.3123600335093215E-006, 3.5246431250000000E+005, 3.5249231250000000E+005, 1.4962500000000000E+004, 1.3597625732421875E+002, 4.9903141334652901E-003, 2.0485198974609375E+002, 1.5508252545259893E-005, 4.3123600335093215E-006, 3.5246431250000000E+005, 3.5249231250000000E+005, 1.4962500000000000E+004, 1.3597625732421875E+002, 4.9903141334652901E-003, 2.0485198974609375E+002, 0.0000000000000000E+000, 1.5694762987550348E-004, 1.5694762987550348E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,39, 1.5157246707531158E-005, 3.6212831250000000E+005, 3.6215559375000000E+005, 1.5157246707531158E-005, 3.6212831250000000E+005, 3.6215559375000000E+005, 1.4271827240008861E-005, 4.0063878259388730E-006, 3.5842443750000000E+005, 3.5845009375000000E+005, 1.5708500000000000E+004, 1.2033233642578125E+002, 4.6536759473383427E-003, 2.0350000000000000E+002, 1.4271827240008861E-005, 4.0063878259388730E-006, 3.5842443750000000E+005, 3.5845009375000000E+005, 1.5708500000000000E+004, 1.2033233642578125E+002, 4.6536759473383427E-003, 2.0350000000000000E+002, 0.0000000000000000E+000, 1.5647039981558919E-004, 1.5647039981558919E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,40, 1.7213262253790163E-005, 3.6971290625000000E+005, 3.6974384375000000E+005, 1.7213262253790163E-005, 3.6971290625000000E+005, 3.6974384375000000E+005, 1.6185254935408011E-005, 4.5435381252900697E-006, 3.6592062500000000E+005, 3.6594971875000000E+005, 1.6472500000000000E+004, 1.0612666320800781E+002, 5.2775954827666283E-003, 2.0350000000000000E+002, 1.6185254935408011E-005, 4.5435381252900697E-006, 3.6592062500000000E+005, 3.6594971875000000E+005, 1.6472500000000000E+004, 1.0612666320800781E+002, 5.2775954827666283E-003, 2.0350000000000000E+002, 0.0000000000000000E+000, 1.5647025429643691E-004, 1.5647025429643691E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,1, 2.2243667393922806E-002, 3.5138928125000000E+005, 3.5703859375000000E+005, 2.2246930748224258E-002, 3.5139471875000000E+005, 3.5704918750000000E+005, 2.2243667393922806E-002, 1.9983936101198196E-002, 3.5099687500000000E+005, 3.5664618750000000E+005, 1.0000000000000000E+001, 1.0118089599609375E+003, 3.3431999683380127E+000, 2.9973999023437500E+002, 2.2246930748224258E-002, 1.9985135644674301E-002, 3.5100231250000000E+005, 3.5665681250000000E+005, 1.0000000000000000E+001, 1.0118089599609375E+003, 3.3436367511749268E+000, 2.9974240112304688E+002, 0.0000000000000000E+000, 4.5300192141439766E-005, 4.5300192141439766E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5300192141439766E-005, 4.5300192141439766E-005, 3.5099687500000000E+005, 3.5100231250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,2, 2.1693475544452667E-002, 3.5020200000000000E+005, 3.5595543750000000E+005, 2.1696701645851135E-002, 3.5020743750000000E+005, 3.5596590625000000E+005, 2.1968571469187737E-002, 1.9688021391630173E-002, 3.5079562500000000E+005, 3.5649700000000000E+005, 9.4500000000000000E+001, 1.0023150024414062E+003, 3.3082354068756104E+000, 2.9945074462890625E+002, 2.1971816197037697E-002, 1.9689220935106277E-002, 3.5080106250000000E+005, 3.5650756250000000E+005, 9.4500000000000000E+001, 1.0023150024414062E+003, 3.3086707592010498E+000, 2.9945315551757812E+002,-5.0752824172377586E-003, 4.5699736801907420E-005, 4.5699736801907420E-005, 4.5332949608564377E-002, 4.5332949608564377E-002, 0.0000000000000000E+000, 4.5332949608564377E-002, 4.5699736801907420E-005, 1.2298666406422853E-003, 3.5109234375000000E+005, 3.5109778125000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5332949608564377E-002, 4.5332949608564377E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,3, 2.1046832203865051E-002, 3.4882406250000000E+005, 3.5469021875000000E+005, 2.1049892529845238E-002, 3.4882943750000000E+005, 3.5470021875000000E+005, 2.1370153874158859E-002, 1.9046239554882050E-002, 3.4951303125000000E+005, 3.5532281250000000E+005, 1.9250000000000000E+002, 9.9138000488281250E+002, 3.2318549156188965E+000, 2.9881375122070312E+002, 2.1373298019170761E-002, 1.9047439098358154E-002, 3.4951843750000000E+005, 3.5533306250000000E+005, 1.9250000000000000E+002, 9.9138000488281250E+002, 3.2322781085968018E+000, 2.9881616210937500E+002,-6.4999591559171677E-003, 4.6587738324888051E-005, 4.6587738324888051E-005, 5.0593763589859009E-002, 5.0593763589859009E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5099637500000000E+005, 3.5100181250000000E+005, 0.0000000000000000E+000,-4.3312500000000000E+003,-5.0242500000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0593763589859009E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,4, 2.0311441272497177E-002, 3.4728096875000000E+005, 3.5326221875000000E+005, 2.0314425230026245E-002, 3.4728634375000000E+005, 3.5327206250000000E+005, 2.0679136738181114E-002, 1.8309652805328369E-002, 3.4805250000000000E+005, 3.5397621875000000E+005, 3.0850000000000000E+002, 9.7856103515625000E+002, 3.1431934833526611E+000, 2.9805975341796875E+002, 2.0682159811258316E-002, 1.8310852348804474E-002, 3.4805787500000000E+005, 3.5398612500000000E+005, 3.0850000000000000E+002, 9.7856103515625000E+002, 3.1436028480529785E+000, 2.9806213378906250E+002,-6.5000001341104507E-003, 4.7637844545533881E-005, 4.7637844545533881E-005, 9.7886793315410614E-002, 9.7886793315410614E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4994225000000000E+005, 3.4994762500000000E+005, 0.0000000000000000E+000,-4.0385000000000000E+003,-1.0435840000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.7886793315410614E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,5, 1.9496098160743713E-002, 3.4560118750000000E+005, 3.5169350000000000E+005, 1.9498979672789574E-002, 3.4560656250000000E+005, 3.5170306250000000E+005, 1.9903769716620445E-002, 1.7489057034254074E-002, 3.4644106250000000E+005, 3.5247787500000000E+005, 4.4250000000000000E+002, 9.6391979980468750E+002, 3.0430982112884521E+000, 2.9718875122070312E+002, 1.9906703382730484E-002, 1.7490256577730179E-002, 3.4644643750000000E+005, 3.5248756250000000E+005, 4.4250000000000000E+002, 9.6391979980468750E+002, 3.0434982776641846E+000, 2.9719113159179688E+002,-6.5000308677554131E-003, 4.8849946324480698E-005, 4.8849946324480698E-005, 2.4119746685028076E-001, 2.4119746685028076E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4835618750000000E+005, 3.4836156250000000E+005, 0.0000000000000000E+000,-4.1260000000000000E+003,-1.6707360000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4119746685028076E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,6, 1.8610371276736259E-002, 3.4381543750000000E+005, 3.5000787500000000E+005, 1.8613103777170181E-002, 3.4382081250000000E+005, 3.5001706250000000E+005, 1.9053235650062561E-002, 1.6596287488937378E-002, 3.4470831250000000E+005, 3.5085068750000000E+005, 5.9450000000000000E+002, 9.4752612304687500E+002, 2.9325256347656250E+000, 2.9620074462890625E+002, 1.9056040793657303E-002, 1.6597487032413483E-002, 3.4471368750000000E+005, 3.5086006250000000E+005, 5.9450000000000000E+002, 9.4752612304687500E+002, 2.9329099655151367E+000, 2.9620312500000000E+002,-6.4999596215784550E-003, 5.0223065045429394E-005, 5.0223065045429394E-005, 5.0537919998168945E-001, 5.0537919998168945E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4690881250000000E+005, 3.4691418750000000E+005, 0.0000000000000000E+000,-3.9458750000000000E+003,-2.3415347500000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0537919998168945E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,7, 1.7664572224020958E-002, 3.4195628125000000E+005, 3.4823125000000000E+005, 1.7667194828391075E-002, 3.4196165625000000E+005, 3.4824018750000000E+005, 1.8137471750378609E-002, 1.5643993392586708E-002, 3.4288587500000000E+005, 3.4911956250000000E+005, 7.6450000000000000E+002, 9.2945819091796875E+002, 2.8125236034393311E+000, 2.9509576416015625E+002, 1.8140148371458054E-002, 1.5645192936062813E-002, 3.4289125000000000E+005, 3.4912862500000000E+005, 7.6450000000000000E+002, 9.2945819091796875E+002, 2.8128943443298340E+000, 2.9509808349609375E+002,-6.4999884925782681E-003, 5.1756796892732382E-005, 5.1756796892732382E-005, 8.2589924335479736E-001, 8.2589924335479736E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4569531250000000E+005, 3.4570071875000000E+005, 0.0000000000000000E+000,-3.4279062500000000E+003,-2.9859810000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2589924335479736E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,8, 1.6669480130076408E-002, 3.4005696875000000E+005, 3.4639043750000000E+005, 1.6671961173415184E-002, 3.4006228125000000E+005, 3.4639896875000000E+005, 1.7167026177048683E-002, 1.4645341783761978E-002, 3.4100662500000000E+005, 3.4731084375000000E+005, 9.5250000000000000E+002, 9.0980175781250000E+002, 2.6842246055603027E+000, 2.9387374877929688E+002, 1.7169578000903130E-002, 1.4646541327238083E-002, 3.4101196875000000E+005, 3.4731956250000000E+005, 9.5250000000000000E+002, 9.0980175781250000E+002, 2.6845808029174805E+000, 2.9387609863281250E+002,-6.5000890754163265E-003, 5.3450654377229512E-005, 5.3450654377229512E-005, 1.0000000000000000E+000, 1.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4501703125000000E+005, 3.4502246875000000E+005, 0.0000000000000000E+000,-2.2970937500000000E+003,-3.4591822500000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
